index,breadth_above_sma_50,market_vol_regime,btc_trend_slope
2025-05-15 16:00:00+00:00,7.455012853470437,medium,-52.01553383458935
2025-05-15 17:00:00+00:00,7.712082262210797,medium,-19.91782706767249
2025-05-15 18:00:00+00:00,3.5989717223650386,high,-8.605007518797953
2025-05-15 19:00:00+00:00,4.113110539845758,high,10.445338345860753
2025-05-15 20:00:00+00:00,3.8560411311053984,high,38.754706766914694
2025-05-15 21:00:00+00:00,3.5989717223650386,medium,53.260548872178624
2025-05-15 22:00:00+00:00,3.5989717223650386,high,70.50964661654046
2025-05-15 23:00:00+00:00,4.113110539845758,medium,86.32918045112515
2025-05-16 00:00:00+00:00,4.884318766066838,medium,102.82651127819126
2025-05-16 01:00:00+00:00,6.940874035989718,medium,113.89651127819488
2025-05-16 02:00:00+00:00,8.997429305912597,medium,122.60628571428289
2025-05-16 03:00:00+00:00,8.740359897172237,medium,118.48124812029891
2025-05-16 04:00:00+00:00,7.455012853470437,medium,117.31380451127677
2025-05-16 05:00:00+00:00,9.511568123393316,medium,106.24092481202791
2025-05-16 06:00:00+00:00,10.796915167095115,medium,93.02950375939817
2025-05-16 07:00:00+00:00,11.568123393316196,medium,81.51861654135135
2025-05-16 08:00:00+00:00,10.025706940874036,medium,66.3755789473658
2025-05-16 09:00:00+00:00,17.994858611825194,medium,49.038586466163416
2025-05-16 10:00:00+00:00,22.10796915167095,medium,26.948947368418825
2025-05-16 11:00:00+00:00,19.53727506426735,medium,20.01748872180181
2025-05-16 12:00:00+00:00,14.652956298200515,medium,19.79688721804308
2025-05-16 13:00:00+00:00,25.70694087403599,medium,29.183849624057313
2025-05-16 14:00:00+00:00,12.339331619537274,low,12.31116541353064
2025-05-16 15:00:00+00:00,16.966580976863753,low,10.013022556388737
2025-05-16 16:00:00+00:00,13.624678663239074,low,10.151082706763779
2025-05-16 17:00:00+00:00,11.053984575835475,low,2.8252406015035376
2025-05-16 18:00:00+00:00,12.082262210796916,low,-4.681578947368757
2025-05-16 19:00:00+00:00,15.167095115681233,low,-3.327030075190375
2025-05-16 20:00:00+00:00,10.539845758354756,low,-7.218315789475152
2025-05-16 21:00:00+00:00,10.796915167095115,low,-7.685285714288065
2025-05-16 22:00:00+00:00,7.969151670951156,low,-6.380488721805066
2025-05-16 23:00:00+00:00,9.254498714652955,low,-7.669654135340069
2025-05-17 00:00:00+00:00,7.197943444730077,low,-11.236315789476226
2025-05-17 01:00:00+00:00,5.3984575835475574,low,-21.877045112782664
2025-05-17 02:00:00+00:00,5.655526992287918,low,-22.978969924814177
2025-05-17 03:00:00+00:00,7.197943444730077,low,-24.232060150379322
2025-05-17 04:00:00+00:00,10.025706940874036,low,-28.12256390977712
2025-05-17 05:00:00+00:00,9.254498714652955,low,-30.526443609027737
2025-05-17 06:00:00+00:00,10.796915167095115,low,-30.12715037594276
2025-05-17 07:00:00+00:00,9.254498714652955,low,-32.08174436090596
2025-05-17 08:00:00+00:00,7.435897435897436,low,-36.39259398496595
2025-05-17 09:00:00+00:00,5.897435897435897,low,-40.22209022556506
2025-05-17 10:00:00+00:00,5.897435897435897,low,-49.484857142858964
2025-05-17 11:00:00+00:00,5.897435897435897,low,-46.42031578947398
2025-05-17 12:00:00+00:00,5.897435897435897,low,-43.116466165414884
2025-05-17 13:00:00+00:00,5.384615384615385,low,-45.423639097746886
2025-05-17 14:00:00+00:00,6.923076923076923,low,-42.90196240601495
2025-05-17 15:00:00+00:00,6.41025641025641,low,-36.789744360906695
2025-05-17 16:00:00+00:00,5.641025641025641,low,-34.421413533837885
2025-05-17 17:00:00+00:00,4.871794871794872,low,-29.445315789473977
2025-05-17 18:00:00+00:00,4.871794871794872,low,-27.212879699248084
2025-05-17 19:00:00+00:00,4.871794871794872,low,-22.644458646618876
2025-05-17 20:00:00+00:00,6.923076923076923,low,-16.208165413536335
2025-05-17 21:00:00+00:00,6.41025641025641,low,-19.998902255639862
2025-05-17 22:00:00+00:00,5.641025641025641,low,-20.243428571429472
2025-05-17 23:00:00+00:00,7.435897435897436,low,-15.225842105265606
2025-05-18 00:00:00+00:00,7.6923076923076925,low,-3.6131578947403575
2025-05-18 01:00:00+00:00,7.6923076923076925,low,1.5597894736799356
2025-05-18 02:00:00+00:00,8.974358974358974,low,10.522172932327825
